--------- beginning of main
2026-03-25 13:54:01.248   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Tml Writer Thread Running................
2026-03-25 13:54:01.248   355-1636  NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  Tml Write error!!
2026-03-25 13:54:01.249   355-1636  NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  phNxpNciHal_fw_dnld_get_sessn_state_cb - Request Failed!!
2026-03-25 13:54:01.249   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  phDnldNfc_GetSessionState cb failed
2026-03-25 13:54:01.249   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E   phNxpNciHal_fw_seq_handler : FAILED
2026-03-25 13:54:01.249   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  phNxpNciHal_fw_dnld_complete: Download Status = 0xff
2026-03-25 13:54:01.249   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  Fw Download Failed!!
2026-03-25 13:54:01.249   355-355   NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  phTmlNfc_i2c_reset(), VEN level 0
2026-03-25 13:54:01.268   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.292   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.312   355-355   NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  phTmlNfc_i2c_reset(), VEN level 1
2026-03-25 13:54:01.315   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.385   364-374   chatty                  surfaceflinger                       I  uid=1000(system) HwBinder:364_1 identical 3 lines
2026-03-25 13:54:01.408   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.420   408-408   thermal_repeater        thermal                              I  [recvMdThermalInfo] ret=33, strLen=127,  1, 32767,,, 25232, 32767, -28551
2026-03-25 13:54:01.425   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  free library SUCCESS !!
2026-03-25 13:54:01.425   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  Freeing Mem for Dnld Context..
2026-03-25 13:54:01.426   355-355   NxpHal                  vendor.nxp.nxpnfc@1.0-service        D  Chip Version Middleware Version mismatch!!!!
2026-03-25 13:54:01.426   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Write requested.....
2026-03-25 13:54:01.426   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:01.431   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.448   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:01.448   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write.....
2026-03-25 13:54:01.448   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Posting Fresh Write message.....
2026-03-25 13:54:01.448   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Tml Writer Thread Running................
2026-03-25 13:54:01.449   355-1636  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write error status = 0x1ff
2026-03-25 13:54:01.449   355-355   NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write_unlocked failed - PN54X Maybe in Standby Mode - Retry
2026-03-25 13:54:01.455   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.459   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Write requested.....
2026-03-25 13:54:01.460   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:01.478   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:01.481   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:01.481   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write.....
2026-03-25 13:54:01.481   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Posting Fresh Write message.....
2026-03-25 13:54:01.481   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Tml Writer Thread Running................
2026-03-25 13:54:01.482   355-1636  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write error status = 0x1ff
2026-03-25 13:54:01.482   355-355   NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  write_unlocked failed - PN54X Maybe in Standby Mode - Retry
2026-03-25 13:54:01.493   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Write requested.....
2026-03-25 13:54:01.493   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:01.502   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
